0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.4986796975135803	0	0	0	0	0	1
2	B	1	2	0.5375570356845856	0	0	0	0	0	1
3	C	1	2	0.6101549863815308	0	0	0	0	0	1
4	D	1	2	0.6310102641582489	0	0	1	0	0	1
5	E	1	2	0.6475009322166443	0	0	0	0	0	1
6	F	1	2	0.5718533992767334	0	0	0	0	0	1
7	G	1	2	0.6654019057750702	0	0	1	0	0	1
8	abnorm	1	1.a	0.6263207793235779	0	0	1	1	0	0
9	absorbere	1	1.a	0.5579957664012909	3	0	1	1	1	1
10	abstrakt	1	1.a	0.33270061016082764	1	0	1	1	0	1
11	accept	1	1.a	0.47827816009521484	0	1	1	1	0	0
12	acceptere	1	1.a	0.4139557480812073	3	2	7	1	0	0
13	acceptere	1	1.b	0.2664186954498291	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.5363235175609589	1	1	9	1	0	0
15	adgang	1	1.a	0.09839046001434326	0	0	4	1	1	1
16	adskillelse	1	1.a	0.6592205166816711	0	1	3	1	0	0
17	adskillelse	1	2	0.5915442705154419	0	1	5	0	0	1
18	adskillelse	1.a	2	0.5696797072887421	0	1	2	0	0	1
19	advare	1	2	0.33827394247055054	2	1	1	0	0	0
20	advare	1	2.a	0.3244515061378479	2	1	10	0	0	0
21	advare	2	2.a	0.2609376311302185	3	1	9	1	0	0
22	advarsel	1	1.a	0.4167037606239319	0	0	7	1	0	0
23	advarsel	1	1.b	0.35498857498168945	0	0	4	1	0	0
24	advarsel	1	1.c	0.5313575565814972	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.35742831230163574	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.4313915967941284	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.3035969138145447	0	0	4	1	0	0
28	afbryde	1	1.a	0.4426634907722473	1	0	5	1	0	0
29	afbryde	1	2	0.4316651225090027	1	2	6	0	0	1
30	afbryde	1.a	2	0.46883320808410645	2	0	1	0	0	1
31	afdeling	1	4	0.4832363724708557	1	0	11	0	0	1
32	affære	1	1.a	0.3183436393737793	3	0	3	1	0	0
33	affære	1	2	0.5763586759567261	1	0	0	0	0	1
34	affære	1.a	2	0.5702110230922699	1	0	3	0	0	1
35	afgift	1	2	0.27277690172195435	3	0	23	0	0	0
36	afgift	1	2.a	0.16493135690689087	3	0	20	0	0	0
37	afgift	1	3	0.2849273681640625	3	0	23	0	0	0
38	afgift	1	4	0.3079395294189453	3	0	22	0	0	0
39	afgift	2	2.a	0.2258661389350891	3	0	3	1	0	0
40	afgift	2	3	0.20633584260940552	3	0	0	0	0	0
41	afgift	2	4	0.2397504448890686	3	0	1	0	0	0
42	afgift	2.a	3	0.21822726726531982	3	0	3	0	0	0
43	afgift	2.a	4	0.29571622610092163	3	0	2	0	0	0
44	afgift	3	4	0.32416582107543945	3	0	1	0	0	0
45	afgrøde	1	1.a	0.4806467890739441	3	0	1	1	0	0
46	afgøre	1	1.a	0.16362911462783813	3	1	4	1	0	0
47	afgøre	1	2	0.4167999029159546	0	0	14	0	0	1
48	afgøre	1	3	0.4592440128326416	0	0	1	0	0	0
49	afgøre	1.a	2	0.43354666233062744	0	0	18	0	0	1
50	afgøre	1.a	3	0.3877044916152954	0	0	3	0	0	0
51	afgøre	2	3	0.5284515917301178	0	0	15	0	0	1
