	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.8940212726593018	0	0	0	0	0	1
2	B	1	2	0.882809966802597	0	0	0	0	0	1
3	C	1	2	0	0	0	0	0	0	1
4	D	1	2	0	0	0	1	0	0	1
5	E	1	2	0	0	0	0	0	0	1
6	F	1	2	0.7399239540100098	0	0	0	0	0	1
7	G	1	2	0.8177668750286102	0	0	1	0	0	1
8	abnorm	1	1.a	0.8386112749576569	0	0	1	1	0	0
9	absorbere	1	1.a	0.5807563364505768	3	0	1	1	1	1
10	abstrakt	1	1.a	0.603919506072998	1	0	1	1	0	1
11	accept	1	1.a	0.5521392822265625	0	1	1	1	0	0
12	acceptere	1	1.a	0.5308371782302856	3	2	7	1	0	0
13	acceptere	1	1.b	0.6154907941818237	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.6733933091163635	1	1	9	1	0	0
15	adgang	1	1.a	0.3665267825126648	0	0	4	1	1	1
16	adskillelse	1	1.a	0.6412383317947388	0	1	3	1	0	0
17	adskillelse	1	2	0.6998912692070007	0	1	5	0	0	1
18	adskillelse	1.a	2	0.6857959926128387	0	1	2	0	0	1
19	advare	1	2	0.5572330355644226	2	1	1	0	0	0
20	advare	1	2.a	0.4513928294181824	2	1	10	0	0	0
21	advare	2	2.a	0.65419802069664	3	1	9	1	0	0
22	advarsel	1	1.a	0.6434373259544373	0	0	7	1	0	0
23	advarsel	1	1.b	0.6263415217399597	0	0	4	1	0	0
24	advarsel	1	1.c	0.6669034063816071	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.563289076089859	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.5529364943504333	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.38990265130996704	0	0	4	1	0	0
28	afbryde	1	1.a	0.4947981834411621	1	0	5	1	0	0
29	afbryde	1	2	0.4767643213272095	1	2	6	0	0	1
30	afbryde	1.a	2	0.561612457036972	2	0	1	0	0	1
31	afdeling	1	4	0.5877147912979126	1	0	11	0	0	1
32	affære	1	1.a	0.692632645368576	3	0	3	1	0	0
33	affære	1	2	0.7596604228019714	1	0	0	0	0	1
34	affære	1.a	2	0.6846409738063812	1	0	3	0	0	1
35	afgift	1	2	0.45331287384033203	3	0	23	0	0	0
36	afgift	1	2.a	0.3557416796684265	3	0	20	0	0	0
37	afgift	1	3	0.40770334005355835	3	0	23	0	0	0
38	afgift	1	4	0.6048322021961212	3	0	22	0	0	0
39	afgift	2	2.a	0.40878188610076904	3	0	3	1	0	0
40	afgift	2	3	0.3924180269241333	3	0	0	0	0	0
41	afgift	2	4	0.3894413709640503	3	0	1	0	0	0
42	afgift	2.a	3	0.38159501552581787	3	0	3	0	0	0
43	afgift	2.a	4	0.5378597974777222	3	0	2	0	0	0
44	afgift	3	4	0.5021896958351135	3	0	1	0	0	0
45	afgrøde	1	1.a	0.5783471167087555	3	0	1	1	0	0
46	afgøre	1	1.a	0.464550256729126	3	1	4	1	0	0
47	afgøre	1	2	0.5891031920909882	0	0	14	0	0	1
48	afgøre	1	3	0.6533806025981903	0	0	1	0	0	0
49	afgøre	1.a	2	0.6156846284866333	0	0	18	0	0	1
50	afgøre	1.a	3	0.48738616704940796	0	0	3	0	0	0
51	afgøre	2	3	0.7197435796260834	0	0	15	0	0	1
52	afgørelse	1	1.a	0.5736611783504486	4	0	8	1	0	0
53	afgørelse	1	2	0.573027640581131	4	0	0	0	0	1
54	afgørelse	1.a	2	0.3278810977935791	4	0	8	0	0	1
55	afhængig	1	1.a	0.4640015959739685	1	0	4	1	0	0
56	afhængig	1	2	0.49455463886260986	0	0	8	0	0	1
57	afhængig	1.a	2	0.5337579548358917	0	0	4	0	0	1
58	afkorte	1	1.a	0.9653100334107876	0	0	1	1	0	1
59	aflejring	1	2	0.5190403163433075	0	0	5	0	0	1
60	aflytning	1	2	0.6962317228317261	0	0	0	0	0	0
61	afløb	1	1.a	0.5972891449928284	1	0	3	1	0	0
62	afløb	1	2.a	0.4742189645767212	0	0	5	0	1	1
63	afløb	1.a	2.a	0.4928579330444336	0	0	2	0	1	1
64	afpresse	1	1.a	0.8429085910320282	2	0	1	1	0	0
65	afsked	1	2	0.5363123416900635	0	0	4	0	0	1
66	afskærmning	1	1.a	0.8246525824069977	0	0	0	1	0	1
67	afslutning	1	2	0.5262263119220734	0	0	13	0	0	1
68	afslutning	1	2.a	0.6935421824455261	0	0	19	0	0	0
69	afslutning	1	2.b	0.5848552882671356	1	0	21	0	0	1
70	afslutning	2	2.a	0.6360251009464264	0	0	6	1	0	1
71	afslutning	2	2.b	0.5674504637718201	0	0	8	1	0	1
72	afslutning	2.a	2.b	0.7148269414901733	0	0	2	1	0	1
73	afstand	1	1.b	0.4836854934692383	1	0	17	1	1	1
74	afstemning	1	2	0.554982990026474	0	0	6	0	0	1
75	aftale	1	1.a	0.3148021697998047	4	0	1	1	0	0
76	aftale	1	1.b	0.21931755542755127	2	0	5	1	0	1
77	aftale	1.a	1.b	0.3459588289260864	2	0	4	1	0	1
78	aftale	1	1.a	0.6380046904087067	2	0	2	1	0	0
79	afvise	1	1.a	0.5551236271858215	2	1	9	1	0	0
80	afvise	1	2	0.752739891409874	3	0	14	0	0	1
81	afvise	1	2.a	0.5122714638710022	0	1	8	0	1	1
82	afvise	1	2.b	0.5304108560085297	0	0	15	0	0	1
83	afvise	1.a	2	0.4083908796310425	2	0	5	0	0	1
84	afvise	1.a	2.a	0.551792711019516	0	1	1	0	1	1
85	afvise	1.a	2.b	0.5381752848625183	0	0	6	0	0	1
86	afvise	2	2.a	0.5942379832267761	0	0	6	1	1	0
87	afvise	2	2.b	0.5726295411586761	0	0	1	1	0	0
88	afvise	2.a	2.b	0.5726580917835236	0	0	7	1	1	0
89	afvisning	1	1.a	0.3990105390548706	0	0	4	1	0	0
90	afvisning	1	2	0.3990105390548706	0	0	2	0	0	1
91	afvisning	1	2.a	0.43541276454925537	0	0	3	0	1	1
92	afvisning	1.a	2	0	0	0	2	0	0	1
93	afvisning	1.a	2.a	0.3000860810279846	0	0	1	0	1	1
94	afvisning	2	2.a	0.3000860810279846	0	0	1	1	1	0
95	agent	1	2	0.7786698341369629	3	0	1	0	0	1
96	agent	1	2.a	0.7351837158203125	3	0	2	0	0	1
97	agent	1	2.b	0.6690541207790375	3	0	3	0	0	1
98	agent	1	4	0.7857140749692917	0	0	1	0	0	1
99	agent	2	2.a	0.44030261039733887	3	0	1	1	0	0
100	agent	2	2.b	0.606702983379364	3	0	2	1	0	0
101	agent	2	4	0.8068042099475861	0	0	0	0	0	1
102	agent	2.a	2.b	0.641835629940033	3	0	1	1	0	0
103	agent	2.a	4	0.868082657456398	0	0	1	0	0	1
104	agent	2.b	4	0.7742975205183029	0	0	2	0	0	1
105	aggressiv	1	1.a	0.5102380812168121	0	0	0	1	0	0
106	agt	1	2	0.8762484267354012	1	0	1	0	0	1
107	akademi	1	1.a	0.5003861784934998	5	0	0	1	0	0
108	akademi	1	2	0.8008562922477722	4	0	2	0	0	1
109	akademi	1.a	2	0.683215320110321	4	0	2	0	0	1
110	akademisk	1	1.a	0.5758328437805176	0	0	2	1	1	1
111	akavet	1	1.a	0.5601670145988464	0	0	1	1	1	0
