	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.5931017696857452	0	0	0	0	0	1
2	B	1	2	0.559086263179779	0	0	0	0	0	1
3	C	1	2	0.611882895231247	0	0	0	0	0	1
4	D	1	2	0.63652703166008	0	0	1	0	0	1
5	E	1	2	0.6528812646865845	0	0	0	0	0	1
6	F	1	2	0.6820025742053986	0	0	0	0	0	1
7	G	1	2	0.5676643252372742	0	0	1	0	0	1
8	abnorm	1	1.a	0.778566762804985	0	0	1	1	0	0
9	absorbere	1	1.a	0.7890211492776871	3	0	1	1	1	1
10	abstrakt	1	1.a	0.4149554967880249	1	0	1	1	0	1
11	accept	1	1.a	0.5512725114822388	0	1	1	1	0	0
12	acceptere	1	1.a	0.6262359321117401	3	2	7	1	0	0
13	acceptere	1	1.b	0.2236221432685852	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.5720005929470062	1	1	9	1	0	0
15	adgang	1	1.a	0.23830515146255493	0	0	4	1	1	1
16	adskillelse	1	1.a	0.45238715410232544	0	1	3	1	0	0
17	adskillelse	1	2	0.644463837146759	0	1	5	0	0	1
18	adskillelse	1.a	2	0.5727755129337311	0	1	2	0	0	1
19	advare	1	2	0.3953168988227844	2	1	1	0	0	0
20	advare	1	2.a	0.4987369179725647	2	1	10	0	0	0
21	advare	2	2.a	0.22011226415634155	3	1	9	1	0	0
22	advarsel	1	1.a	0.40707284212112427	0	0	7	1	0	0
23	advarsel	1	1.b	0.3762649893760681	0	0	4	1	0	0
24	advarsel	1	1.c	0.5252770185470581	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.45419609546661377	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.5301985740661621	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.36989259719848633	0	0	4	1	0	0
28	afbryde	1	1.a	0.6018009185791016	1	0	5	1	0	0
29	afbryde	1	2	0.5646386742591858	1	2	6	0	0	1
30	afbryde	1.a	2	0.6153313517570496	2	0	1	0	0	1
31	afdeling	1	4	0.584456592798233	1	0	11	0	0	1
32	affære	1	1.a	0.3412039875984192	3	0	3	1	0	0
33	affære	1	2	0.6262179911136627	1	0	0	0	0	1
34	affære	1.a	2	0.685541957616806	1	0	3	0	0	1
35	afgift	1	2	0.24407333135604858	3	0	23	0	0	0
36	afgift	1	2.a	0.15206801891326904	3	0	20	0	0	0
37	afgift	1	3	0.3232812285423279	3	0	23	0	0	0
38	afgift	1	4	0.364340603351593	3	0	22	0	0	0
39	afgift	2	2.a	0.26870185136795044	3	0	3	1	0	0
40	afgift	2	3	0.28935158252716064	3	0	0	0	0	0
41	afgift	2	4	0.3754817247390747	3	0	1	0	0	0
42	afgift	2.a	3	0.3731042742729187	3	0	3	0	0	0
43	afgift	2.a	4	0.3898196220397949	3	0	2	0	0	0
44	afgift	3	4	0.4163283109664917	3	0	1	0	0	0
45	afgrøde	1	1.a	0.5444886684417725	3	0	1	1	0	0
46	afgøre	1	1.a	0.21784883737564087	3	1	4	1	0	0
47	afgøre	1	2	0.36581188440322876	0	0	14	0	0	1
48	afgøre	1	3	0.48681479692459106	0	0	1	0	0	0
49	afgøre	1.a	2	0.37675660848617554	0	0	18	0	0	1
50	afgøre	1.a	3	0.42985832691192627	0	0	3	0	0	0
