idx	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.5975789129734039	0	0	0	0	0	1
2	B	1	2	0.5633482038974762	0	0	0	0	0	1
3	C	1	2	0.6101549863815308	0	0	0	0	0	1
4	D	1	2	0.6310102641582489	0	0	1	0	0	1
5	E	1	2	0.6475009322166443	0	0	0	0	0	1
6	F	1	2	0.6712805926799774	0	0	0	0	0	1
7	G	1	2	0.5776929259300232	0	0	1	0	0	1
8	abnorm	1	1.a	0.7874841541051865	0	0	1	1	0	0
9	absorbere	1	1.a	0.7654900550842285	3	0	1	1	1	1
10	abstrakt	1	1.a	0.40977317094802856	1	0	1	1	0	1
11	accept	1	1.a	0.523508220911026	0	1	1	1	0	0
12	acceptere	1	1.a	0.4926644563674927	3	2	7	1	0	0
13	acceptere	1	1.b	0.2899988293647766	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.4435098171234131	1	1	9	1	0	0
15	adgang	1	1.a	0.15423673391342163	0	0	4	1	1	1
16	adskillelse	1	1.a	0.4597933292388916	0	1	3	1	0	0
17	adskillelse	1	2	0.6775502860546112	0	1	5	0	0	1
18	adskillelse	1.a	2	0.6797949373722076	0	1	2	0	0	1
19	advare	1	2	0.41387754678726196	2	1	1	0	0	0
20	advare	1	2.a	0.5001949667930603	2	1	10	0	0	0
21	advare	2	2.a	0.17838621139526367	3	1	9	1	0	0
22	advarsel	1	1.a	0.39866477251052856	0	0	7	1	0	0
23	advarsel	1	1.b	0.3809688687324524	0	0	4	1	0	0
24	advarsel	1	1.c	0.5275764167308807	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.45986682176589966	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.5504620671272278	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.357616126537323	0	0	4	1	0	0
28	afbryde	1	1.a	0.5745871067047119	1	0	5	1	0	0
29	afbryde	1	2	0.5298870503902435	1	2	6	0	0	1
30	afbryde	1.a	2	0.5476118624210358	2	0	1	0	0	1
31	afdeling	1	4	0.6011879146099091	1	0	11	0	0	1
32	affære	1	1.a	0.23259735107421875	3	0	3	1	0	0
33	affære	1	2	0.6447277367115021	1	0	0	0	0	1
34	affære	1.a	2	0.7218128740787506	1	0	3	0	0	1
35	afgift	1	2	0.25822752714157104	3	0	23	0	0	0
36	afgift	1	2.a	0.1743205189704895	3	0	20	0	0	0
37	afgift	1	3	0.30637651681900024	3	0	23	0	0	0
38	afgift	1	4	0.33586668968200684	3	0	22	0	0	0
39	afgift	2	2.a	0.1847943663597107	3	0	3	1	0	0
40	afgift	2	3	0.1981905698776245	3	0	0	0	0	0
41	afgift	2	4	0.3572080731391907	3	0	1	0	0	0
42	afgift	2.a	3	0.2637293338775635	3	0	3	0	0	0
43	afgift	2.a	4	0.3603532910346985	3	0	2	0	0	0
44	afgift	3	4	0.3911557197570801	3	0	1	0	0	0
45	afgrøde	1	1.a	0.5588808357715607	3	0	1	1	0	0
46	afgøre	1	1.a	0.1376127004623413	3	1	4	1	0	0
47	afgøre	1	2	0.4201400876045227	0	0	14	0	0	1
48	afgøre	1	3	0.41450387239456177	0	0	1	0	0	0
49	afgøre	1.a	2	0.4404975175857544	0	0	18	0	0	1
50	afgøre	1.a	3	0.38881272077560425	0	0	3	0	0	0
51	afgøre	2	3	0.2697957158088684	0	0	15	0	0	1
52	afgørelse	1	1.a	0.21292173862457275	4	0	8	1	0	0
53	afgørelse	1	2	0.33902376890182495	4	0	0	0	0	1
54	afgørelse	1.a	2	0.34324467182159424	4	0	8	0	0	1
55	afhængig	1	1.a	0.513956606388092	1	0	4	1	0	0
56	afhængig	1	2	0.5072667896747589	0	0	8	0	0	1
57	afhængig	1.a	2	0.5813362300395966	0	0	4	0	0	1
58	afkorte	1	1.a	0.39198923110961914	0	0	1	1	0	1
59	aflejring	1	2	0.8844137340784073	0	0	5	0	0	1
60	aflytning	1	2	0.5914119482040405	0	0	0	0	0	0
61	afløb	1	1.a	0.42607444524765015	1	0	3	1	0	0
62	afløb	1	2.a	0.7327761054039001	0	0	5	0	1	1
63	afløb	1.a	2.a	0.7321862578392029	0	0	2	0	1	1
64	afpresse	1	1.a	0.461788535118103	2	0	1	1	0	0
65	afsked	1	2	0.7127573788166046	0	0	4	0	0	1
66	afskærmning	1	1.a	0.9622443467378616	0	0	0	1	0	1
67	afslutning	1	2	0.6881437301635742	0	0	13	0	0	1
68	afslutning	1	2.a	0.7464671432971954	0	0	19	0	0	0
69	afslutning	1	2.b	0.6279920935630798	1	0	21	0	0	1
70	afslutning	2	2.a	0.18752872943878174	0	0	6	1	0	1
71	afslutning	2	2.b	0.36701977252960205	0	0	8	1	0	1
72	afslutning	2.a	2.b	0.5191600024700165	0	0	2	1	0	1
73	afstand	1	1.b	0.5667904019355774	1	0	17	1	1	1
74	afstemning	1	2	0.6905745565891266	0	0	6	0	0	1
75	aftale	1	1.a	0.24170607328414917	4	0	1	1	0	0
76	aftale	1	1.b	0.596476286649704	2	0	5	1	0	1
77	aftale	1.a	1.b	0.5761905610561371	2	0	4	1	0	1
78	aftale	1	1.a	0.43058663606643677	2	0	2	1	0	0
79	afvise	1	1.a	0.4027068018913269	2	1	9	1	0	0
80	afvise	1	2	0.20049816370010376	3	0	14	0	0	1
81	afvise	1	2.a	0.4132957458496094	0	1	8	0	1	1
82	afvise	1	2.b	0.24210315942764282	0	0	15	0	0	1
83	afvise	1.a	2	0.5033659934997559	2	0	5	0	0	1
84	afvise	1.a	2.a	0.39752912521362305	0	1	1	0	1	1
85	afvise	1.a	2.b	0.4430236220359802	0	0	6	0	0	1
86	afvise	2	2.a	0.4225166440010071	0	0	6	1	1	0
87	afvise	2	2.b	0.3001425266265869	0	0	1	1	0	0
88	afvise	2.a	2.b	0.4192109704017639	0	0	7	1	1	0
89	afvisning	1	1.a	0.5058983862400055	0	0	4	1	0	0
90	afvisning	1	2	0.4210415482521057	0	0	2	0	0	1
91	afvisning	1	2.a	0.3392103910446167	0	0	3	0	1	1
92	afvisning	1.a	2	0.6286813616752625	0	0	2	0	0	1
93	afvisning	1.a	2.a	0.37580013275146484	0	0	1	0	1	1
94	afvisning	2	2.a	0.5217449069023132	0	0	1	1	1	0
95	agent	1	2	0.37322360277175903	3	0	1	0	0	1
96	agent	1	2.a	0.3407781720161438	3	0	2	0	0	1
97	agent	1	2.b	0.2664397358894348	3	0	3	0	0	1
98	agent	1	4	0.48277872800827026	0	0	1	0	0	1
99	agent	2	2.a	0.2640252709388733	3	0	1	1	0	0
100	agent	2	2.b	0.2783629298210144	3	0	2	1	0	0
101	agent	2	4	0.4041562080383301	0	0	0	0	0	1
102	agent	2.a	2.b	0.38621944189071655	3	0	1	1	0	0
103	agent	2.a	4	0.6159341931343079	0	0	1	0	0	1
104	agent	2.b	4	0.32242798805236816	0	0	2	0	0	1
105	aggressiv	1	1.a	0.1957312822341919	0	0	0	1	0	0
106	agt	1	2	0.6959977447986603	1	0	1	0	0	1
107	akademi	1	1.a	0.29345136880874634	5	0	0	1	0	0
108	akademi	1	2	0.5488486588001251	4	0	2	0	0	1
109	akademi	1.a	2	0.50960373878479	4	0	2	0	0	1
110	akademisk	1	1.a	0.48991602659225464	0	0	2	1	1	1
111	akavet	1	1.a	0.48752427101135254	0	0	1	1	1	0
112	akkord	1	1.a	0.4233176112174988	0	0	2	1	0	0
113	akkord	1	3	0.8019285500049591	0	0	0	0	0	1
114	akkord	1.a	3	0.9856376573443413	0	0	2	0	0	1
115	akse	1	2	0.22934406995773315	3	0	3	0	0	1
116	akse	1	2.a	0.5962203145027161	3	0	4	0	0	1
117	akse	2	2.a	0.4643314480781555	3	0	1	1	0	0
118	akt	1	1.a	0.16620808839797974	0	0	4	1	1	1
119	akt	1	2	0.8380623012781143	0	0	2	0	0	1
120	akt	1	3	0.769883394241333	4	0	3	0	0	1
121	akt	1	3.a	0.8271815627813339	3	0	3	0	0	1
