	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.4986796975135803	0	0	0	0	0	1
2	B	1	2	0.5375570356845856	0	0	0	0	0	1
3	C	1	2	0.6101549863815308	0	0	0	0	0	1
4	D	1	2	0.6310102641582489	0	0	1	0	0	1
5	E	1	2	0.6475009322166443	0	0	0	0	0	1
6	F	1	2	0.5718533992767334	0	0	0	0	0	1
7	G	1	2	0.6654019057750702	0	0	1	0	0	1
8	abnorm	1	1.a	0.6263207793235779	0	0	1	1	0	0
9	absorbere	1	1.a	0.5579957664012909	3	0	1	1	1	1
10	abstrakt	1	1.a	0.40953361988067627	1	0	1	1	0	1
11	accept	1	1.a	0.47827816009521484	0	1	1	1	0	0
12	acceptere	1	1.a	0.4585241675376892	3	2	7	1	0	0
13	acceptere	1	1.b	0.2438192367553711	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.5326602160930634	1	1	9	1	0	0
15	adgang	1	1.a	0.2466449737548828	0	0	4	1	1	1
16	adskillelse	1	1.a	0.6670348942279816	0	1	3	1	0	0
17	adskillelse	1	2	0.5547646284103394	0	1	5	0	0	1
18	adskillelse	1.a	2	0.5985644459724426	0	1	2	0	0	1
19	advare	1	2	0.3758774995803833	2	1	1	0	0	0
20	advare	1	2.a	0.337723970413208	2	1	10	0	0	0
21	advare	2	2.a	0.2599589228630066	3	1	9	1	0	0
22	advarsel	1	1.a	0.4656423330307007	0	0	7	1	0	0
23	advarsel	1	1.b	0.4042986035346985	0	0	4	1	0	0
24	advarsel	1	1.c	0.5313575565814972	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.4142177700996399	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.46249866485595703	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.291753351688385	0	0	4	1	0	0
28	afbryde	1	1.a	0.47214871644973755	1	0	5	1	0	0
29	afbryde	1	2	0.4462539553642273	1	2	6	0	0	1
30	afbryde	1.a	2	0.4797024726867676	2	0	1	0	0	1
31	afdeling	1	4	0.5736448764801025	1	0	11	0	0	1
32	affære	1	1.a	0.34224987030029297	3	0	3	1	0	0
33	affære	1	2	0.6004831492900848	1	0	0	0	0	1
34	affære	1.a	2	0.602348119020462	1	0	3	0	0	1
35	afgift	1	2	0.2772584557533264	3	0	23	0	0	0
