	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.5975789129734039	0	0	0	0	0	1
2	B	1	2	0.5633482038974762	0	0	0	0	0	1
3	C	1	2	0.6101549863815308	0	0	0	0	0	1
4	D	1	2	0.6310102641582489	0	0	1	0	0	1
5	E	1	2	0.6475009322166443	0	0	0	0	0	1
6	F	1	2	0.6712805926799774	0	0	0	0	0	1
7	G	1	2	0.5776929259300232	0	0	1	0	0	1
8	abnorm	1	1.a	0.7874841541051865	0	0	1	1	0	0
9	absorbere	1	1.a	0.7654900550842285	3	0	1	1	1	1
10	abstrakt	1	1.a	0.31248998641967773	1	0	1	1	0	1
11	accept	1	1.a	0.523508220911026	0	1	1	1	0	0
12	acceptere	1	1.a	0.43008315563201904	3	2	7	1	0	0
13	acceptere	1	1.b	0.2994045615196228	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.4112638831138611	1	1	9	1	0	0
15	adgang	1	1.a	0.04751777648925781	0	0	4	1	1	1
16	adskillelse	1	1.a	0.5984284579753876	0	1	3	1	0	0
17	adskillelse	1	2	0.8219050914049149	0	1	5	0	0	1
18	adskillelse	1.a	2	0.6951141059398651	0	1	2	0	0	1
19	advare	1	2	0.3732795715332031	2	1	1	0	0	0
20	advare	1	2.a	0.47643089294433594	2	1	10	0	0	0
21	advare	2	2.a	0.18614375591278076	3	1	9	1	0	0
22	advarsel	1	1.a	0.3357643485069275	0	0	7	1	0	0
23	advarsel	1	1.b	0.3470199704170227	0	0	4	1	0	0
24	advarsel	1	1.c	0.5275764167308807	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.3933072090148926	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.49475598335266113	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.3763028383255005	0	0	4	1	0	0
28	afbryde	1	1.a	0.5050167143344879	1	0	5	1	0	0
29	afbryde	1	2	0.48297548294067383	1	2	6	0	0	1
30	afbryde	1.a	2	0.4869491457939148	2	0	1	0	0	1
31	afdeling	1	4	0.4650951027870178	1	0	11	0	0	1
32	affære	1	1.a	0.19573044776916504	3	0	3	1	0	0
33	affære	1	2	0.6266165673732758	1	0	0	0	0	1
34	affære	1.a	2	0.6768099367618561	1	0	3	0	0	1
35	afgift	1	2	0.25486379861831665	3	0	23	0	0	0
36	afgift	1	2.a	0.16384398937225342	3	0	20	0	0	0
37	afgift	1	3	0.3042711019515991	3	0	23	0	0	0
38	afgift	1	4	0.2501611113548279	3	0	22	0	0	0
39	afgift	2	2.a	0.17394930124282837	3	0	3	1	0	0
40	afgift	2	3	0.1981905698776245	3	0	0	0	0	0
41	afgift	2	4	0.28203707933425903	3	0	1	0	0	0
42	afgift	2.a	3	0.2566106915473938	3	0	3	0	0	0
