	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.5931017696857452	0	0	0	0	0	1
2	B	1	2	0.559086263179779	0	0	0	0	0	1
3	C	1	2	0.611882895231247	0	0	0	0	0	1
4	D	1	2	0.63652703166008	0	0	1	0	0	1
5	E	1	2	0.6528812646865845	0	0	0	0	0	1
6	F	1	2	0.6820025742053986	0	0	0	0	0	1
7	G	1	2	0.5676643252372742	0	0	1	0	0	1
8	abnorm	1	1.a	0.778566762804985	0	0	1	1	0	0
9	absorbere	1	1.a	0.7890211492776871	3	0	1	1	1	1
10	abstrakt	1	1.a	0.3149259090423584	1	0	1	1	0	1
11	accept	1	1.a	0.5512725114822388	0	1	1	1	0	0
12	acceptere	1	1.a	0.4825068712234497	3	2	7	1	0	0
13	acceptere	1	1.b	0.24323779344558716	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.4874255657196045	1	1	9	1	0	0
15	adgang	1	1.a	0.05505824089050293	0	0	4	1	1	1
16	adskillelse	1	1.a	0.6018100678920746	0	1	3	1	0	0
17	adskillelse	1	2	0.7775892913341522	0	1	5	0	0	1
18	adskillelse	1.a	2	0.6739076375961304	0	1	2	0	0	1
19	advare	1	2	0.34970712661743164	2	1	1	0	0	0
20	advare	1	2.a	0.4737914204597473	2	1	10	0	0	0
21	advare	2	2.a	0.2271321415901184	3	1	9	1	0	0
22	advarsel	1	1.a	0.33144092559814453	0	0	7	1	0	0
23	advarsel	1	1.b	0.35533827543258667	0	0	4	1	0	0
24	advarsel	1	1.c	0.5252770185470581	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.3958999514579773	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.4740346670150757	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.39092278480529785	0	0	4	1	0	0
28	afbryde	1	1.a	0.5123738944530487	1	0	5	1	0	0
29	afbryde	1	2	0.5116126835346222	1	2	6	0	0	1
30	afbryde	1.a	2	0.5470775067806244	2	0	1	0	0	1
31	afdeling	1	4	0.4308379292488098	1	0	11	0	0	1
32	affære	1	1.a	0.27329254150390625	3	0	3	1	0	0
33	affære	1	2	0.6079585254192352	1	0	0	0	0	1
34	affære	1.a	2	0.6401730179786682	1	0	3	0	0	1
35	afgift	1	2	0.23761838674545288	3	0	23	0	0	0
36	afgift	1	2.a	0.14574414491653442	3	0	20	0	0	0
37	afgift	1	3	0.3185458183288574	3	0	23	0	0	0
38	afgift	1	4	0.25781941413879395	3	0	22	0	0	0
39	afgift	2	2.a	0.24497979879379272	3	0	3	1	0	0
40	afgift	2	3	0.28935158252716064	3	0	0	0	0	0
41	afgift	2	4	0.266307532787323	3	0	1	0	0	0
42	afgift	2.a	3	0.3559809923171997	3	0	3	0	0	0
43	afgift	2.a	4	0.29101991653442383	3	0	2	0	0	0
44	afgift	3	4	0.3369531035423279	3	0	1	0	0	0
45	afgrøde	1	1.a	0.5444886684417725	3	0	1	1	0	0
46	afgøre	1	1.a	0.18308919668197632	3	1	4	1	0	0
47	afgøre	1	2	0.4458480477333069	0	0	14	0	0	1
48	afgøre	1	3	0.5059013664722443	0	0	1	0	0	0
49	afgøre	1.a	2	0.44794219732284546	0	0	18	0	0	1
50	afgøre	1.a	3	0.4544886350631714	0	0	3	0	0	0
