	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.5114268064498901	0	0	0	0	0	1
2	B	1	2	0.5597073137760162	0	0	0	0	0	1
3	C	1	2	0.611882895231247	0	0	0	0	0	1
4	D	1	2	0.63652703166008	0	0	1	0	0	1
5	E	1	2	0.6528812646865845	0	0	0	0	0	1
6	F	1	2	0.5765785574913025	0	0	0	0	0	1
7	G	1	2	0.7276471853256226	0	0	1	0	0	1
8	abnorm	1	1.a	0.6389546394348145	0	0	1	1	0	0
9	absorbere	1	1.a	0.5616328716278076	3	0	1	1	1	1
10	abstrakt	1	1.a	0.3445091247558594	1	0	1	1	0	1
11	accept	1	1.a	0.47309964895248413	0	1	1	1	0	0
12	acceptere	1	1.a	0.4527626037597656	3	2	7	1	0	0
13	acceptere	1	1.b	0.29997938871383667	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.6168580949306488	1	1	9	1	0	0
15	adgang	1	1.a	0.1082112193107605	0	0	4	1	1	1
16	adskillelse	1	1.a	0.6437802910804749	0	1	3	1	0	0
17	adskillelse	1	2	0.5822294056415558	0	1	5	0	0	1
18	adskillelse	1.a	2	0.5668405294418335	0	1	2	0	0	1
19	advare	1	2	0.32840049266815186	2	1	1	0	0	0
20	advare	1	2.a	0.30117517709732056	2	1	10	0	0	0
21	advare	2	2.a	0.3038759231567383	3	1	9	1	0	0
22	advarsel	1	1.a	0.4397932291030884	0	0	7	1	0	0
23	advarsel	1	1.b	0.35384756326675415	0	0	4	1	0	0
24	advarsel	1	1.c	0.5245577692985535	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.3559037446975708	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.41757702827453613	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.3079283833503723	0	0	4	1	0	0
28	afbryde	1	1.a	0.4433555603027344	1	0	5	1	0	0
29	afbryde	1	2	0.44052547216415405	1	2	6	0	0	1
30	afbryde	1.a	2	0.5100026428699493	2	0	1	0	0	1
31	afdeling	1	4	0.48876285552978516	1	0	11	0	0	1
32	affære	1	1.a	0.4013800621032715	3	0	3	1	0	0
33	affære	1	2	0.5726798176765442	1	0	0	0	0	1
34	affære	1.a	2	0.5714604258537292	1	0	3	0	0	1
35	afgift	1	2	0.2804044485092163	3	0	23	0	0	0
36	afgift	1	2.a	0.16127008199691772	3	0	20	0	0	0
37	afgift	1	3	0.2972784638404846	3	0	23	0	0	0
38	afgift	1	4	0.3269585967063904	3	0	22	0	0	0
39	afgift	2	2.a	0.2766392230987549	3	0	3	1	0	0
40	afgift	2	3	0.25500065088272095	3	0	0	0	0	0
41	afgift	2	4	0.2539251446723938	3	0	1	0	0	0
42	afgift	2.a	3	0.2695448398590088	3	0	3	0	0	0
43	afgift	2.a	4	0.313018798828125	3	0	2	0	0	0
44	afgift	3	4	0.3419765830039978	3	0	1	0	0	0
45	afgrøde	1	1.a	0.48028701543807983	3	0	1	1	0	0
46	afgøre	1	1.a	0.20642036199569702	3	1	4	1	0	0
47	afgøre	1	2	0.4099992513656616	0	0	14	0	0	1
48	afgøre	1	3	0.5308524370193481	0	0	1	0	0	0
49	afgøre	1.a	2	0.4192380905151367	0	0	18	0	0	1
50	afgøre	1.a	3	0.4207456111907959	0	0	3	0	0	0
51	afgøre	2	3	0.5789081156253815	0	0	15	0	0	1
52	afgørelse	1	1.a	0.32782649993896484	4	0	8	1	0	0
53	afgørelse	1	2	0.3993087410926819	4	0	0	0	0	1
54	afgørelse	1.a	2	0.32879239320755005	4	0	8	0	0	1
55	afhængig	1	1.a	0.37283074855804443	1	0	4	1	0	0
56	afhængig	1	2	0.42055708169937134	0	0	8	0	0	1
57	afhængig	1.a	2	0.5047204196453094	0	0	4	0	0	1
58	afkorte	1	1.a	0.5666618645191193	0	0	1	1	0	1
59	aflejring	1	2	0.4932923913002014	0	0	5	0	0	1
60	aflytning	1	2	0.5940897166728973	0	0	0	0	0	0
61	afløb	1	1.a	0.39412492513656616	1	0	3	1	0	0
62	afløb	1	2.a	0.5041598379611969	0	0	5	0	1	1
63	afløb	1.a	2.a	0.43853265047073364	0	0	2	0	1	1
64	afpresse	1	1.a	0.5246492028236389	2	0	1	1	0	0
65	afsked	1	2	0.5357927978038788	0	0	4	0	0	1
66	afskærmning	1	1.a	0.8255463689565659	0	0	0	1	0	1
67	afslutning	1	2	0.37783926725387573	0	0	13	0	0	1
68	afslutning	1	2.a	0.6416535377502441	0	0	19	0	0	0
69	afslutning	1	2.b	0.4235953688621521	1	0	21	0	0	1
70	afslutning	2	2.a	0.4240986704826355	0	0	6	1	0	1
71	afslutning	2	2.b	0.2993720769882202	0	0	8	1	0	1
72	afslutning	2.a	2.b	0.5845527052879333	0	0	2	1	0	1
73	afstand	1	1.b	0.37675362825393677	1	0	17	1	1	1
74	afstemning	1	2	0.5294367671012878	0	0	6	0	0	1
75	aftale	1	1.a	0.218816339969635	4	0	1	1	0	0
76	aftale	1	1.b	0.35152751207351685	2	0	5	1	0	1
77	aftale	1.a	1.b	0.36548691987991333	2	0	4	1	0	1
78	aftale	1	1.a	0.561966061592102	2	0	2	1	0	0
79	afvise	1	1.a	0.38451576232910156	2	1	9	1	0	0
80	afvise	1	2	0.5228774845600128	3	0	14	0	0	1
81	afvise	1	2.a	0.45039111375808716	0	1	8	0	1	1
82	afvise	1	2.b	0.4344456195831299	0	0	15	0	0	1
