0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.8042590916156769	0	0	0	0	0	1
2	B	1	2	0.8042590916156769	0	0	0	0	0	1
3	C	1	2	0.8042590916156769	0	0	0	0	0	1
4	D	1	2	0.8042590916156769	0	0	1	0	0	1
5	E	1	2	0.8042590916156769	0	0	0	0	0	1
6	F	1	2	0.8042590916156769	0	0	0	0	0	1
7	G	1	2	0.7914618700742722	0	0	1	0	0	1
8	abnorm	1	1.a	0.7796051502227783	0	0	1	1	0	0
9	absorbere	1	1.a	0.2444249987602234	3	0	1	1	1	1
10	abstrakt	1	1.a	0.4280116558074951	1	0	1	1	0	1
11	accept	1	1.a	0.3978493809700012	0	1	1	1	0	0
12	acceptere	1	1.a	0.26749294996261597	3	2	7	1	0	0
13	acceptere	1	1.b	0.28557127714157104	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.2195185422897339	1	1	9	1	0	0
15	adgang	1	1.a	0	0	0	4	1	1	1
16	adskillelse	1	1.a	0.37858718633651733	0	1	3	1	0	0
17	adskillelse	1	2	0.4780135750770569	0	1	5	0	0	1
18	adskillelse	1.a	2	0.09250521659851074	0	1	2	0	0	1
19	advare	1	2	0.33634066581726074	2	1	1	0	0	0
20	advare	1	2.a	0.33634066581726074	2	1	10	0	0	0
21	advare	2	2.a	0	3	1	9	1	0	0
22	advarsel	1	1.a	0.20480763912200928	0	0	7	1	0	0
23	advarsel	1	1.b	0.13999491930007935	0	0	4	1	0	0
24	advarsel	1	1.c	0.1368069052696228	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.17791414260864258	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.1939038634300232	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.01403951644897461	0	0	4	1	0	0
28	afbryde	1	1.a	0.4831886291503906	1	0	5	1	0	0
29	afbryde	1	2	0.42012345790863037	1	2	6	0	0	1
30	afbryde	1.a	2	0.33383721113204956	2	0	1	0	0	1
31	afdeling	1	4	0.4190613031387329	1	0	11	0	0	1
32	affære	1	1.a	0	3	0	3	1	0	0
33	affære	1	2	0.2918405532836914	1	0	0	0	0	1
34	affære	1.a	2	0.2918405532836914	1	0	3	0	0	1
35	afgift	1	2	0.26274335384368896	3	0	23	0	0	0
36	afgift	1	2.a	0.26274335384368896	3	0	20	0	0	0
37	afgift	1	3	0.26274335384368896	3	0	23	0	0	0
38	afgift	1	4	0.2225726842880249	3	0	22	0	0	0
39	afgift	2	2.a	0	3	0	3	1	0	0
40	afgift	2	3	0	3	0	0	0	0	0
41	afgift	2	4	0.23862773180007935	3	0	1	0	0	0
42	afgift	2.a	3	0	3	0	3	0	0	0
43	afgift	2.a	4	0.23862773180007935	3	0	2	0	0	0
44	afgift	3	4	0.23862773180007935	3	0	1	0	0	0
45	afgrøde	1	1.a	0.7081944942474365	3	0	1	1	0	0
46	afgøre	1	1.a	0	3	1	4	1	0	0
47	afgøre	1	2	0.37623274326324463	0	0	14	0	0	1
48	afgøre	1	3	0.37623274326324463	0	0	1	0	0	0
49	afgøre	1.a	2	0.37623274326324463	0	0	18	0	0	1
50	afgøre	1.a	3	0.37623274326324463	0	0	3	0	0	0
51	afgøre	2	3	0	0	0	15	0	0	1
52	afgørelse	1	1.a	0	4	0	8	1	0	0
53	afgørelse	1	2	0.18442344665527344	4	0	0	0	0	1
54	afgørelse	1.a	2	0.18442344665527344	4	0	8	0	0	1
55	afhængig	1	1.a	0.2845692038536072	1	0	4	1	0	0
56	afhængig	1	2	0.41184329986572266	0	0	8	0	0	1
57	afhængig	1.a	2	0.22720640897750854	0	0	4	0	0	1
58	afkorte	1	1.a	0.5263500511646271	0	0	1	1	0	1
59	aflejring	1	2	0.7687715590000153	0	0	5	0	0	1
60	aflytning	1	2	0.5631041526794434	0	0	0	0	0	0
61	afløb	1	1.a	0.7051442265510559	1	0	3	1	0	0
62	afløb	1	2.a	0.7817197293043137	0	0	5	0	1	1
63	afløb	1.a	2.a	0.7898219972848892	0	0	2	0	1	1
64	afpresse	1	1.a	0.41499173641204834	2	0	1	1	0	0
65	afsked	1	2	0.031067728996276855	0	0	4	0	0	1
66	afskærmning	1	1.a	0.8944273963570595	0	0	0	1	0	1
67	afslutning	1	2	0.5204553604125977	0	0	13	0	0	1
68	afslutning	1	2.a	0.5204553604125977	0	0	19	0	0	0
69	afslutning	1	2.b	0.42014485597610474	1	0	21	0	0	1
70	afslutning	2	2.a	0	0	0	6	1	0	1
71	afslutning	2	2.b	0.5858069360256195	0	0	8	1	0	1
72	afslutning	2.a	2.b	0.5858069360256195	0	0	2	1	0	1
73	afstand	1	1.b	0.2819972038269043	1	0	17	1	1	1
74	afstemning	1	2	0.3860699534416199	0	0	6	0	0	1
75	aftale	1	1.a	0	4	0	1	1	0	0
76	aftale	1	1.b	0.1589927077293396	2	0	5	1	0	1
77	aftale	1.a	1.b	0.1589927077293396	2	0	4	1	0	1
78	aftale	1	1.a	0.19510167837142944	2	0	2	1	0	0
79	afvise	1	1.a	0.2459295392036438	2	1	9	1	0	0
80	afvise	1	2	0	3	0	14	0	0	1
81	afvise	1	2.a	0.31773126125335693	0	1	8	0	1	1
82	afvise	1	2.b	0.09178489446640015	0	0	15	0	0	1
83	afvise	1.a	2	0.2459295392036438	2	0	5	0	0	1
84	afvise	1.a	2.a	0.2676517963409424	0	1	1	0	1	1
85	afvise	1.a	2.b	0.24992400407791138	0	0	6	0	0	1
86	afvise	2	2.a	0.31773126125335693	0	0	6	1	1	0
87	afvise	2	2.b	0.09178489446640015	0	0	1	1	0	0
88	afvise	2.a	2.b	0.2780178189277649	0	0	7	1	1	0
89	afvisning	1	1.a	0.150814950466156	0	0	4	1	0	0
90	afvisning	1	2	0	0	0	2	0	0	1
91	afvisning	1	2.a	0.2188311219215393	0	0	3	0	1	1
92	afvisning	1.a	2	0.150814950466156	0	0	2	0	0	1
93	afvisning	1.a	2.a	0.1869150996208191	0	0	1	0	1	1
94	afvisning	2	2.a	0.2188311219215393	0	0	1	1	1	0
95	agent	1	2	0	3	0	1	0	0	1
96	agent	1	2.a	0	3	0	2	0	0	1
97	agent	1	2.b	0	3	0	3	0	0	1
98	agent	1	4	0.276355504989624	0	0	1	0	0	1
99	agent	2	2.a	0	3	0	1	1	0	0
100	agent	2	2.b	0	3	0	2	1	0	0
101	agent	2	4	0.276355504989624	0	0	0	0	0	1
102	agent	2.a	2.b	0	3	0	1	1	0	0
103	agent	2.a	4	0.276355504989624	0	0	1	0	0	1
104	agent	2.b	4	0.276355504989624	0	0	2	0	0	1
105	aggressiv	1	1.a	0	0	0	0	1	0	0
106	agt	1	2	0.0880323052406311	1	0	1	0	0	1
107	akademi	1	1.a	0	5	0	0	1	0	0
108	akademi	1	2	0.23493093252182007	4	0	2	0	0	1
109	akademi	1.a	2	0.23493093252182007	4	0	2	0	0	1
110	akademisk	1	1.a	0.3585386872291565	0	0	2	1	1	1
111	akavet	1	1.a	0.5626091659069061	0	0	1	1	1	0
112	akkord	1	1.a	0.7387986481189728	0	0	2	1	0	0
113	akkord	1	3	0.8046604096889496	0	0	0	0	0	1
114	akkord	1.a	3	0.27357620000839233	0	0	2	0	0	1
115	akse	1	2	0	3	0	3	0	0	1
116	akse	1	2.a	0	3	0	4	0	0	1
117	akse	2	2.a	0	3	0	1	1	0	0
118	akt	1	1.a	0	0	0	4	1	1	1
119	akt	1	2	0.6910606622695923	0	0	2	0	0	1
120	akt	1	3	0.6675035655498505	4	0	3	0	0	1
121	akt	1	3.a	0.6829809248447418	3	0	3	0	0	1
122	akt	1.a	2	0.6910606622695923	0	0	2	0	1	1
123	akt	1.a	3	0.6675035655498505	0	0	1	0	1	1
124	akt	1.a	3.a	0.6829809248447418	0	0	1	0	1	1
125	akt	2	3	0.46476078033447266	0	0	1	0	0	1
126	akt	2	3.a	0.4202054738998413	0	0	1	0	0	1
127	akt	3	3.a	0.4332926273345947	2	0	0	1	0	1
128	aktiv	1	1.a	0.2751815915107727	0	0	12	1	0	0
129	aktiv	1	1.b	0.3408721089363098	0	0	1	1	0	0
130	aktiv	1	1.c	0.2449386715888977	0	0	9	1	0	1
131	aktiv	1.a	1.b	0.4061545133590698	0	0	11	1	0	0
132	aktiv	1.a	1.c	0.27512043714523315	0	0	3	1	0	1
133	aktiv	1.b	1.c	0.38626980781555176	0	0	8	1	0	1
134	aktivitet	1	2	0	2	0	4	0	0	0
135	aktivitet	1	3	0.4313421845436096	2	0	4	0	0	1
136	aktivitet	2	3	0.4313421845436096	1	0	8	0	0	1
137	akut	1	1.a	0	0	0	7	1	0	0
138	akvarium	1	1.a	0.46984028816223145	1	0	1	1	0	1
139	alarm	1	1.a	0.5397602021694183	0	0	0	1	0	0
140	alarm	1	2	0.4834694266319275	0	0	5	0	0	1
141	alarm	1	2.a	0.28942590951919556	0	0	0	0	1	1
142	alarm	1.a	2	0.5953296422958374	0	0	5	0	0	1
143	alarm	1.a	2.a	0.37130481004714966	0	0	0	0	1	1
144	alarm	2	2.a	0.3449350595474243	0	0	5	1	1	1
145	album	1	2	0.1419621706008911	1	0	8	0	0	1
146	album	1	3	0.1419621706008911	0	0	1	0	0	0
147	album	2	3	0	0	0	7	0	0	1
148	alder	1	1.a	0.32955294847488403	2	0	16	1	0	0
149	alder	1	1.b	0.15406668186187744	0	0	13	1	0	0
150	alder	1	2	0	2	0	20	0	0	1
151	alder	1.a	1.b	0.2914345860481262	0	0	3	1	0	0
152	alder	1.a	2	0.32955294847488403	2	0	4	0	0	1
153	alder	1.b	2	0.15406668186187744	0	0	7	0	0	1
154	alderdom	1	1.a	0.6578169167041779	0	0	5	1	0	0
155	alene	1	1.a	0.30152058601379395	0	0	15	1	0	0
156	alkohol	1	2	0.06001400947570801	2	0	2	0	0	1
157	alkoholfri	1	2	0.7926975786685944	0	0	1	0	0	0
158	alt	1	2	0.2154330015182495	0	0	1	0	0	1
159	alter	1	1.a	0.5472277998924255	0	0	0	1	1	0
160	alter	1	2	0.5472277998924255	2	0	0	0	0	1
161	alter	1.a	2	0	0	0	0	0	1	1
162	aluminium	1	1.a	0.29693764448165894	1	0	1	1	0	1
163	alvor	1	2	0	2	0	2	0	0	1
164	alvorlig	1	1.a	0.4409058094024658	1	0	17	1	0	1
165	alvorlig	1	2	0.5303602814674377	1	0	17	0	0	1
166	alvorlig	1	3	0.4191638231277466	0	0	14	0	0	1
167	alvorlig	1.a	2	0.425544798374176	1	0	0	0	0	1
168	alvorlig	1.a	3	0.39903074502944946	0	0	3	0	0	1
169	alvorlig	2	3	0.45891863107681274	0	0	3	0	0	0
170	amatør	1	2	0	2	0	1	0	0	1
171	ambassade	1	1.a	0.1970059871673584	1	0	2	1	0	1
172	ambitiøs	1	1.a	0.5020397305488586	0	0	3	1	0	0
173	amputere	1	1.a	0.5596794188022614	2	0	3	1	1	1
174	analyse	1	2	0.21686065196990967	2	0	11	0	0	1
175	anbefale	1	1.a	0.05660945177078247	0	1	4	1	0	0
176	anbefaling	1	2	0	2	0	4	0	0	1
177	anbringe	1	1.a	0.5268937349319458	1	0	4	1	0	1
178	anbringe	1	1.b	0.3749188780784607	0	0	1	1	1	1
179	anbringe	1	2	0.30165553092956543	4	0	1	0	0	1
180	anbringe	1.a	1.b	0.5190998911857605	0	0	5	1	1	1
181	anbringe	1.a	2	0.5059186816215515	1	0	5	0	0	1
182	anbringe	1.b	2	0.3137609362602234	0	0	0	0	1	1
183	and	1	1.a	0.07174980640411377	2	0	3	1	0	1
184	andel	1	1.a	0.23283874988555908	2	0	1	1	0	1
185	andel	1	2	0.29309070110321045	1	0	1	0	0	1
186	andel	1.a	2	0.20832479000091553	1	0	2	0	0	1
187	anderledes	1	1.a	0	0	0	8	1	0	0
188	anerkende	1	1.a	0.19135725498199463	0	0	6	1	0	0
189	anerkende	1	1.b	0.15974318981170654	0	0	8	1	0	0
190	anerkende	1	2	0.19008666276931763	0	0	1	0	0	1
191	anerkende	1.a	1.b	0.13748788833618164	0	0	2	1	0	0
192	anerkende	1.a	2	0.2277073860168457	0	0	7	0	0	1
193	anerkende	1.b	2	0.13005679845809937	2	0	9	0	0	1
194	anerkendelse	1	2	0.12011194229125977	2	0	5	0	0	1
195	anerkendelse	1	2.a	0.05026531219482422	0	0	7	0	0	1
196	anerkendelse	2	2.a	0.09811139106750488	0	0	2	1	0	0
197	anke	1	2	0	4	0	6	0	0	1
198	anklage	1	1.a	0.14314711093902588	0	0	1	1	0	1
199	anklage	1	1.a	0.4583473205566406	0	0	5	1	0	1
200	anledning	1	2	0.15358853340148926	1	0	3	0	0	1
201	anledning	1	2.a	0.3067482113838196	1	0	8	0	0	1
202	anledning	2	2.a	0.23152118921279907	1	0	11	1	0	0
203	anmeldelse	1	2	0.2780610918998718	0	0	3	0	0	1
204	anmodning	1	1.a	0.184461772441864	0	0	6	1	0	0
205	anonym	1	1.a	0.6250676512718201	0	0	9	1	0	0
206	anseelse	1	1.a	0	0	1	4	1	0	0
207	anspændt	1	1.a	0.7352850139141083	1	0	1	1	0	0
208	anstrengelse	1	1.a	0.8084468245506287	3	0	2	1	0	0
209	ansvarlig	1	2	0.3646749258041382	0	0	12	0	0	1
210	ansvarlig	1	2.a	0.3809383511543274	0	0	13	0	0	1
211	ansvarlig	2	2.a	0.3332250118255615	0	0	1	1	0	0
212	ansætte	1	2	0.20963507890701294	0	0	6	0	0	1
213	ansættelse	1	2	0.158291757106781	0	0	7	0	0	1
214	ansøgning	1	1.a	0.29002320766448975	0	0	10	1	0	1
215	antagelse	1	2	0.44833511114120483	0	0	1	0	0	1
216	antagelse	1	2.a	0.43526387214660645	0	0	2	0	0	1
217	antagelse	1	3	0.2104402780532837	0	0	2	0	0	1
218	antagelse	2	2.a	0.4550248384475708	0	0	1	1	0	0
219	antagelse	2	3	0.38659948110580444	0	0	1	0	0	1
220	antagelse	2.a	3	0.3489854335784912	0	0	0	0	0	1
221	antal	1	1.a	0	2	0	23	1	0	0
222	apati	1	1.a	0	1	0	0	1	0	0
223	apparat	1	2	0.35406363010406494	0	0	2	0	0	1
224	apparat	1	2.a	0.3017164468765259	0	0	7	0	0	1
225	apparat	2	2.a	0.4469074606895447	0	0	9	1	0	0
226	appel	1	2	0.435873806476593	0	0	0	0	0	1
227	appel	1	2.a	0.5486158728599548	0	0	4	0	0	1
228	appel	1	3	0.16331368684768677	0	0	3	0	0	1
229	appel	2	2.a	0.5791758000850677	0	0	4	1	0	0
230	appel	2	3	0.37608158588409424	0	0	3	0	0	1
231	appel	2.a	3	0.44870585203170776	0	0	1	0	0	1
232	appendiks	1	1.a	0.868661418557167	0	0	1	1	1	1
233	appetit	1	1.a	0	3	0	1	1	1	1
234	appetitlig	1	1.a	1.0357826985418797	1	0	1	1	1	1
235	appetitlig	1	1.b	0.7809965908527374	1	0	0	1	1	1
236	appetitlig	1.a	1.b	1.2142613530158997	1	0	1	1	2	0
237	arbejde	1	1.a	0.19617652893066406	0	0	2	1	0	1
238	arbejdsbi	1	1.a	0.9155226051807404	1	0	2	1	1	1
239	arbejdsdag	1	2	0.5965025424957275	2	0	0	0	0	1
240	arbejdsdyr	1	1.a	0.6926231980323792	1	0	1	1	1	1
241	arbejdsplads	1	1.a	0.4671313762664795	1	0	1	1	0	1
242	arbejdsplads	1	2	0.28349339962005615	0	0	2	0	0	1
243	arbejdsplads	1.a	2	0.46431583166122437	0	0	3	0	0	1
244	arbejdstid	1	2	0.3259549140930176	2	0	0	0	0	1
245	arbejdsuge	1	2	0.4266524910926819	2	0	1	0	0	1
246	arena	1	1.a	0	1	0	0	1	0	0
247	arena	1	1.b	0.38201904296875	1	0	0	1	1	1
248	arena	1	1.c	0.5497046709060669	2	0	7	1	1	1
249	arena	1.a	1.b	0.38201904296875	2	0	0	1	1	1
250	arena	1.a	1.c	0.5497046709060669	1	0	7	1	1	1
