	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.8268839567899704	0	0	0	0	0	1
2	B	1	2	0.8383766859769821	0	0	0	0	0	1
3	C	1	2	0.8042590916156769	0	0	0	0	0	1
4	D	1	2	0.8042590916156769	0	0	1	0	0	1
5	E	1	2	0.8042590916156769	0	0	0	0	0	1
6	F	1	2	0.7165180742740631	0	0	0	0	0	1
7	G	1	2	0.7476532757282257	0	0	1	0	0	1
8	abnorm	1	1.a	0.8127055168151855	0	0	1	1	0	0
9	absorbere	1	1.a	0.576801598072052	3	0	1	1	1	1
10	abstrakt	1	1.a	0.3885791301727295	1	0	1	1	0	1
11	accept	1	1.a	0.5687653124332428	0	1	1	1	0	0
12	acceptere	1	1.a	0.417974054813385	3	2	7	1	0	0
13	acceptere	1	1.b	0.4784276485443115	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.5680112540721893	1	1	9	1	0	0
15	adgang	1	1.a	0.09442168474197388	0	0	4	1	1	1
16	adskillelse	1	1.a	0.6559790670871735	0	1	3	1	0	0
17	adskillelse	1	2	0.6286437213420868	0	1	5	0	0	1
18	adskillelse	1.a	2	0.6334317624568939	0	1	2	0	0	1
19	advare	1	2	0.38158977031707764	2	1	1	0	0	0
20	advare	1	2.a	0.3959047794342041	2	1	10	0	0	0
21	advare	2	2.a	0.43038487434387207	3	1	9	1	0	0
22	advarsel	1	1.a	0.5369044542312622	0	0	7	1	0	0
23	advarsel	1	1.b	0.5298018157482147	0	0	4	1	0	0
24	advarsel	1	1.c	0.6497414410114288	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.4548865556716919	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.51069575548172	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.37526416778564453	0	0	4	1	0	0
28	afbryde	1	1.a	0.4466964602470398	1	0	5	1	0	0
29	afbryde	1	2	0.4445408582687378	1	2	6	0	0	1
30	afbryde	1.a	2	0.4958663582801819	2	0	1	0	0	1
31	afdeling	1	4	0.44707316160202026	1	0	11	0	0	1
32	affære	1	1.a	0.4786900281906128	3	0	3	1	0	0
33	affære	1	2	0.6647658050060272	1	0	0	0	0	1
34	affære	1.a	2	0.5519559383392334	1	0	3	0	0	1
35	afgift	1	2	0.3843733072280884	3	0	23	0	0	0
36	afgift	1	2.a	0.2908383011817932	3	0	20	0	0	0
37	afgift	1	3	0.3572189211845398	3	0	23	0	0	0
38	afgift	1	4	0.45376521348953247	3	0	22	0	0	0
39	afgift	2	2.a	0.278486967086792	3	0	3	1	0	0
40	afgift	2	3	0.28792595863342285	3	0	0	0	0	0
41	afgift	2	4	0.2582932114601135	3	0	1	0	0	0
42	afgift	2.a	3	0.2562788724899292	3	0	3	0	0	0
43	afgift	2.a	4	0.3592156767845154	3	0	2	0	0	0
44	afgift	3	4	0.3850109577178955	3	0	1	0	0	0
45	afgrøde	1	1.a	0.5657772123813629	3	0	1	1	0	0
46	afgøre	1	1.a	0.2912312150001526	3	1	4	1	0	0
47	afgøre	1	2	0.4765952229499817	0	0	14	0	0	1
48	afgøre	1	3	0.54726243019104	0	0	1	0	0	0
49	afgøre	1.a	2	0.432944655418396	0	0	18	0	0	1
50	afgøre	1.a	3	0.42845261096954346	0	0	3	0	0	0
51	afgøre	2	3	0.5163197815418243	0	0	15	0	0	1
52	afgørelse	1	1.a	0.3888927102088928	4	0	8	1	0	0
53	afgørelse	1	2	0.4721525311470032	4	0	0	0	0	1
54	afgørelse	1.a	2	0.3126996159553528	4	0	8	0	0	1
55	afhængig	1	1.a	0.3690642714500427	1	0	4	1	0	0
56	afhængig	1	2	0.4194852113723755	0	0	8	0	0	1
57	afhængig	1.a	2	0.5205517113208771	0	0	4	0	0	1
58	afkorte	1	1.a	0.8101890683174133	0	0	1	1	0	1
59	aflejring	1	2	0.49366772174835205	0	0	5	0	0	1
60	aflytning	1	2	0.7100402414798737	0	0	0	0	0	0
61	afløb	1	1.a	0.5863530337810516	1	0	3	1	0	0
62	afløb	1	2.a	0.5321047008037567	0	0	5	0	1	1
63	afløb	1.a	2.a	0.4785006046295166	0	0	2	0	1	1
64	afpresse	1	1.a	0.7762753367424011	2	0	1	1	0	0
65	afsked	1	2	0.48309147357940674	0	0	4	0	0	1
66	afskærmning	1	1.a	0.7361326813697815	0	0	0	1	0	1
67	afslutning	1	2	0.4396640658378601	0	0	13	0	0	1
68	afslutning	1	2.a	0.6316336393356323	0	0	19	0	0	0
69	afslutning	1	2.b	0.5237206518650055	1	0	21	0	0	1
70	afslutning	2	2.a	0.4679030776023865	0	0	6	1	0	1
71	afslutning	2	2.b	0.5011482536792755	0	0	8	1	0	1
72	afslutning	2.a	2.b	0.715694785118103	0	0	2	1	0	1
73	afstand	1	1.b	0.3588781952857971	1	0	17	1	1	1
74	afstemning	1	2	0.5592070817947388	0	0	6	0	0	1
75	aftale	1	1.a	0.16010838747024536	4	0	1	1	0	0
76	aftale	1	1.b	0.19396185874938965	2	0	5	1	0	1
77	aftale	1.a	1.b	0.26570528745651245	2	0	4	1	0	1
78	aftale	1	1.a	0.616903692483902	2	0	2	1	0	0
79	afvise	1	1.a	0.3985893130302429	2	1	9	1	0	0
