	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.8042590916156769	0	0	0	0	0	1
2	B	1	2	0.8042590916156769	0	0	0	0	0	1
3	C	1	2	0.8042590916156769	0	0	0	0	0	1
4	D	1	2	0.8042590916156769	0	0	1	0	0	1
5	E	1	2	0.8042590916156769	0	0	0	0	0	1
6	F	1	2	0.8042590916156769	0	0	0	0	0	1
7	G	1	2	0.7914618700742722	0	0	1	0	0	1
8	abnorm	1	1.a	0.7796051502227783	0	0	1	1	0	0
9	absorbere	1	1.a	0.2444249987602234	3	0	1	1	1	1
10	abstrakt	1	1.a	0.20278525352478027	1	0	1	1	0	1
11	accept	1	1.a	0.3978493809700012	0	1	1	1	0	0
12	acceptere	1	1.a	0.3605859875679016	3	2	7	1	0	0
13	acceptere	1	1.b	0.41660094261169434	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.26484090089797974	1	1	9	1	0	0
15	adgang	1	1.a	0.024302780628204346	0	0	4	1	1	1
16	adskillelse	1	1.a	0.5120345652103424	0	1	3	1	0	0
17	adskillelse	1	2	0.8720134943723679	0	1	5	0	0	1
18	adskillelse	1.a	2	0.7305326163768768	0	1	2	0	0	1
19	advare	1	2	0.2748141884803772	2	1	1	0	0	0
20	advare	1	2.a	0.36299747228622437	2	1	10	0	0	0
21	advare	2	2.a	0.11431491374969482	3	1	9	1	0	0
22	advarsel	1	1.a	0.26654160022735596	0	0	7	1	0	0
23	advarsel	1	1.b	0.18906790018081665	0	0	4	1	0	0
24	advarsel	1	1.c	0.1368069052696228	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.32013362646102905	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.19133007526397705	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.13643896579742432	0	0	4	1	0	0
28	afbryde	1	1.a	0.40115493535995483	1	0	5	1	0	0
29	afbryde	1	2	0.3559277653694153	1	2	6	0	0	1
30	afbryde	1.a	2	0.25633323192596436	2	0	1	0	0	1
31	afdeling	1	4	0.3122861981391907	1	0	11	0	0	1
32	affære	1	1.a	0.011607587337493896	3	0	3	1	0	0
33	affære	1	2	0.16349679231643677	1	0	0	0	0	1
34	affære	1.a	2	0.15852046012878418	1	0	3	0	0	1
35	afgift	1	2	0.33722448348999023	3	0	23	0	0	0
36	afgift	1	2.a	0.28464674949645996	3	0	20	0	0	0
37	afgift	1	3	0.33722448348999023	3	0	23	0	0	0
38	afgift	1	4	0.20940333604812622	3	0	22	0	0	0
39	afgift	2	2.a	0.037035226821899414	3	0	3	1	0	0
40	afgift	2	3	0	3	0	0	0	0	0
41	afgift	2	4	0.22674918174743652	3	0	1	0	0	0
42	afgift	2.a	3	0.037035226821899414	3	0	3	0	0	0
43	afgift	2.a	4	0.16580486297607422	3	0	2	0	0	0
44	afgift	3	4	0.22674918174743652	3	0	1	0	0	0
45	afgrøde	1	1.a	0.7081944942474365	3	0	1	1	0	0
46	afgøre	1	1.a	0.0919640064239502	3	1	4	1	0	0
47	afgøre	1	2	0.46585357189178467	0	0	14	0	0	1
48	afgøre	1	3	0.47967737913131714	0	0	1	0	0	0
49	afgøre	1.a	2	0.41198331117630005	0	0	18	0	0	1
50	afgøre	1.a	3	0.4507603049278259	0	0	3	0	0	0
51	afgøre	2	3	0.4059842824935913	0	0	15	0	0	1
