0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1	A	1	2	0.4306110739707947	0	0	0	0	0	1
2	B	1	2	0.43822693824768066	0	0	0	0	0	1
3	C	1	2	0.4455774426460266	0	0	0	0	0	1
4	D	1	2	0.44599902629852295	0	0	1	0	0	1
5	E	1	2	0.44642454385757446	0	0	0	0	0	1
6	F	1	2	0.4470219016075134	0	0	0	0	0	1
7	G	1	2	0.557559996843338	0	0	1	0	0	1
8	abnorm	1	1.a	0.438823401927948	0	0	1	1	0	0
9	absorbere	1	1.a	0.27318012714385986	3	0	1	1	1	1
10	abstrakt	1	1.a	0.18427318334579468	1	0	1	1	0	1
11	accept	1	1.a	0.391671359539032	0	1	1	1	0	0
12	acceptere	1	1.a	0.3924746513366699	3	2	7	1	0	0
13	acceptere	1	1.b	0.23116779327392578	1	1	16	1	0	0
14	acceptere	1.a	1.b	0.3562580943107605	1	1	9	1	0	0
15	adgang	1	1.a	0.11471551656723022	0	0	4	1	1	1
16	adskillelse	1	1.a	0.37326252460479736	0	1	3	1	0	0
17	adskillelse	1	2	0.2865949273109436	0	1	5	0	0	1
18	adskillelse	1.a	2	0.38611865043640137	0	1	2	0	0	1
19	advare	1	2	0.2760000228881836	2	1	1	0	0	0
20	advare	1	2.a	0.30147629976272583	2	1	10	0	0	0
21	advare	2	2.a	0.1128649115562439	3	1	9	1	0	0
22	advarsel	1	1.a	0.27051597833633423	0	0	7	1	0	0
23	advarsel	1	1.b	0.29743582010269165	0	0	4	1	0	0
24	advarsel	1	1.c	0.33679401874542236	0	0	0	1	0	0
25	advarsel	1.a	1.b	0.32859861850738525	0	0	3	1	0	0
26	advarsel	1.a	1.c	0.35748517513275146	3	0	7	1	0	0
27	advarsel	1.b	1.c	0.18838119506835938	0	0	4	1	0	0
28	afbryde	1	1.a	0.4216669201850891	1	0	5	1	0	0
29	afbryde	1	2	0.379283607006073	1	2	6	0	0	1
30	afbryde	1.a	2	0.4298884868621826	2	0	1	0	0	1
31	afdeling	1	4	0.3658459186553955	1	0	11	0	0	1
32	affære	1	1.a	0.21793913841247559	3	0	3	1	0	0
33	affære	1	2	0.4043346047401428	1	0	0	0	0	1
34	affære	1.a	2	0.4826059341430664	1	0	3	0	0	1
35	afgift	1	2	0.2250744104385376	3	0	23	0	0	1
36	afgift	1	2.a	0.16180318593978882	3	0	20	0	0	0
37	afgift	1	3	0.26289957761764526	3	0	23	0	0	0
38	afgift	1	4	0.28261798620224	3	0	22	0	0	1
39	afgift	2	2.a	0.17985326051712036	3	0	3	1	0	1
40	afgift	2	3	0.18088585138320923	3	0	0	0	0	1
41	afgift	2	4	0.27073943614959717	3	0	1	0	0	0
42	afgift	2.a	3	0.22912466526031494	3	0	3	0	0	0
43	afgift	2.a	4	0.28541672229766846	3	0	2	0	0	1
44	afgift	3	4	0.3150971531867981	3	0	1	0	0	1
45	afgrøde	1	1.a	0.26749128103256226	3	0	1	1	0	0
46	afgøre	1	1.a	0.13277947902679443	3	1	4	1	0	0
47	afgøre	1	2	0.31915032863616943	0	0	14	0	0	1
48	afgøre	1	3	0.3126929998397827	0	0	1	0	0	0
49	afgøre	1.a	2	0.3567125201225281	0	0	18	0	0	1
50	afgøre	1.a	3	0.3046887516975403	0	0	3	0	0	0
51	afgøre	2	3	0.3327844738960266	0	0	15	0	0	1
52	afgørelse	1	1.a	0.18636375665664673	4	0	8	1	0	0
53	afgørelse	1	2	0.28557872772216797	4	0	0	0	0	1
54	afgørelse	1.a	2	0.2990717887878418	4	0	8	0	0	1
55	afhængig	1	1.a	0.3671850562095642	1	0	4	1	0	0
56	afhængig	1	2	0.422404944896698	0	0	8	0	0	1
57	afhængig	1.a	2	0.4464138150215149	0	0	4	0	0	1
58	afkorte	1	1.a	0.18572527170181274	0	0	1	1	0	1
59	aflejring	1	2	0.3942752480506897	0	0	5	0	0	1
60	aflytning	1	2	0.3317357301712036	0	0	0	0	0	0
61	afløb	1	1.a	0.2698926329612732	1	0	3	1	0	0
62	afløb	1	2.a	0.3930826187133789	0	0	5	0	1	1
63	afløb	1.a	2.a	0.44582217931747437	0	0	2	0	1	1
64	afpresse	1	1.a	0.29057323932647705	2	0	1	1	0	0
65	afsked	1	2	0.46164005994796753	0	0	4	0	0	1
66	afskærmning	1	1.a	0.19035661220550537	0	0	0	1	0	1
67	afslutning	1	2	0.3975130319595337	0	0	13	0	0	1
68	afslutning	1	2.a	0.4869714379310608	0	0	19	0	0	1
69	afslutning	1	2.b	0.49714457988739014	1	0	21	0	0	1
70	afslutning	1	3	0.3319777250289917	1	0	21	0	0	1
71	afslutning	2	2.a	0.19048583507537842	0	0	6	1	0	1
72	afslutning	2	2.b	0.31851041316986084	0	0	8	1	0	1
73	afslutning	2	3	0.47283297777175903	0	0	8	0	0	1
74	afslutning	2.a	2.b	0.39295846223831177	0	0	2	1	0	1
75	afslutning	2.a	3	0.5012091994285583	0	0	2	0	0	1
76	afslutning	2.b	3	0.5378605127334595	1	0	0	0	0	1
77	afslutte	1	1.a	0.3108648657798767	0	0	7	1	0	1
78	afslutte	1	1.b	0.37656646966934204	0	1	16	1	0	0
79	afslutte	1	1.c	0.3428424000740051	0	0	16	1	0	0
