0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
2207	celle	1	2	0.3281170129776001	2	0	3	0	0	1
2208	celle	1	4	0.33515793085098267	1	0	0	0	0	1
2209	celle	2	4	0.27400803565979004	1	0	3	0	0	1
2210	censur	1	1.a	0.31334149837493896	1	0	3	1	0	1
2211	censur	1	2	0.3092496395111084	0	0	6	0	0	1
2212	censur	1	3	0.354208767414093	2	0	6	0	0	1
2213	censur	1.a	2	0.4474625587463379	0	0	3	0	0	1
2214	censur	1.a	3	0.4266972541809082	2	0	3	0	0	1
2215	censur	2	3	0.2932966947555542	0	0	0	0	0	1
2216	center	1	1.a	0.2682110071182251	0	0	1	1	0	1
2217	center	1	2	0.3665289282798767	2	0	1	0	0	1
2218	center	1.a	2	0.45710986852645874	0	0	0	0	0	1
2219	central	1	1.a	0.44838011264801025	0	0	3	1	0	1
2220	central	1	2	0.47667062282562256	0	0	8	0	0	1
2221	central	1.a	2	0.36241650581359863	0	0	5	0	0	1
2222	centrum	1	1.a	0.15436053276062012	3	0	4	1	0	1
2223	centrum	1	1.c	0.3984309434890747	2	0	6	1	1	1
2224	centrum	1.a	1.c	0.4512489438056946	2	0	2	1	1	1
2225	chance	1	1.a	0.20857369899749756	1	0	22	1	0	0
2226	chance	1	1.b	0.3619919419288635	0	0	27	1	0	1
2227	chance	1.a	1.b	0.3306121826171875	0	0	5	1	0	1
2228	charter	1	2	0.39119064807891846	3	0	1	0	0	1
2229	chauffør	1	1.a	0.13105356693267822	2	0	1	1	0	1
2230	chokolade	1	1.a	0.170443594455719	2	0	12	1	0	0
2231	chokolade	1	2	0.15929341316223145	2	0	6	0	0	1
2232	chokolade	1.a	2	0.20042449235916138	2	0	6	0	0	1
2233	cirkel	1	1.a	0.33530330657958984	1	0	3	1	0	1
2234	cirkel	1	1.b	0.3072269558906555	0	0	2	1	0	0
2235	cirkel	1	2	0.381672203540802	1	0	2	0	0	1
2236	cirkel	1	3	0.276239812374115	0	0	2	0	0	1
2237	cirkel	1.a	1.b	0.3885776400566101	0	0	1	1	0	1
2238	cirkel	1.a	2	0.48681777715682983	1	0	1	0	0	1
2239	cirkel	1.a	3	0.4591570496559143	0	0	1	0	0	1
2240	cirkel	1.b	2	0.3469446301460266	0	0	0	0	0	1
2241	cirkel	1.b	3	0.3365062475204468	0	0	0	0	0	1
2242	cirkel	2	3	0.38947540521621704	0	0	0	0	0	1
2243	cirkulation	1	1.a	0.4654422998428345	0	0	0	1	0	1
2244	cirkulation	1	2	0.42529743909835815	0	0	1	0	0	1
2245	cirkulation	1.a	2	0.4403565526008606	0	0	1	0	0	1
2246	citron	1	1.a	0.23335212469100952	1	0	1	1	0	1
2247	civil	1	1.a	0.4428892135620117	0	0	7	1	0	0
2248	civil	1	1.b	0.30127662420272827	0	0	4	1	0	0
2249	civil	1	2	0.40977412462234497	0	0	3	0	0	1
2250	civil	1.a	1.b	0.22058147192001343	0	0	3	1	0	0
2251	civil	1.a	2	0.41706472635269165	0	0	4	0	0	1
2252	civil	1.b	2	0.3723086714744568	0	0	1	0	0	1
2253	civilisation	1	1.a	0.21716392040252686	0	0	9	1	0	1
2254	civilisation	1	1.b	0.25406181812286377	0	0	0	1	0	0
