score	ordklasse	lemma	definition	genprox	kollokation	hyper	ddo_bet	ddo_dannetsemid	ddo_entryid	dn_id
1	sb.	A	det første bogstav i den danske version af det latinske alfabet	bogstav	sløv padde	{bogstav_1}	1	21000014	11000013	8148
1	sb.	A	bruges til at betegne den el. det første i en rækkefølge el. til at betegne en bestemt kvalitet, gruppe el. type blandt andre tilsvarende	betegne			2	21000015	11000013	
2	sb.	A	den sjette tone i en C-durskala	tone		{tone,1_1}	3	21000016	11000013	28908
3	præp.	a	bruges ved angivelse af pris, mål, vægt osv. for hver enkelt enhed i en mængde	pris	"smalle stræder gyder;smal sti;smal trappe;smal sprække;smalle gader;smal åbning"		1	21000025	11000018	
2	præp.	a	strækkende sig indtil	strækkende	"smalle strimler;smal stribe;smalle læber"		2	21000026	11000018	
1	præp.	a	til begge (el. alle) parter	til	"smal talje;smalle hofter;smalle skuldre;smalt ansigt"		3	21000027	11000018	
4	sb.	abe	højtudviklet pattedyr som har stort baghoved, fladt ansigt og lange arme og ben, og som typisk lever i træer	pattedyr	smalle programmer	{primat_1}	1	21000046	11000033	3295
1	sb.	abe	et sådant dyr el. menneske	dyr		"{abe,1_1; abekat_1}"	1.a	21000048	11000033	3296
1	sb.	abe	bruges som skældsord til el. om en person som man synes er dum	skældsord		"{skældsord_1; ukvemsord_1}"	1.b	21000049	11000033	8060
5	sb.	abe	skyld, ansvar	skyld	"smart tøj;smart design;unge og smarte"	"{skyld_2_1; skyldfølelse_1}"	2	21000047	11000033	14460
1	sb.	abekat	abe	abe	"smarte fyre;smarte forretningsmænd;spille smart"	{primat_1}	1	21000056	11000039	3295
2	sb.	abekat	person der opfører sig vildt og uciviliseret el. tåbeligt og naragtigt	person	"smarte skaktræk;smart og praktisk"	"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1.a	21000057	11000039	18626
2	adj.	abnorm	som afviger fra det normale, ofte i legemlig el. sundhedsmæssig henseende	afvige		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21000075	11000053	78386
1	adj.	abnorm	uhyrlig, utrolig	uhyrlig	ikke særlig(t) smart		1.a	21000076	11000053	
11	sb.	abort	fremkaldt el. uønsket afbrydelse af graviditeten før fostret er levedygtigt	afbrydelse	smarte bemærkninger		1	21000089	11000065	65184
1	sb.	abort	det døde foster der er resultatet af afbrydelsen af graviditeten	foster	"smertefulde menstruationer;smertefulde operationer;smertefuld død"		2	21000090	11000065	
4	vb.	absorbere	opsuge el. optage lys, stof el. energi ved en fysisk el. biologisk proces	opsuge	"smertefuld proces;smertefuld oplevelse"	{optage_2_1}	1	21000123	11000087	48872
3	vb.	absorbere	"optage; opsluge; tage til sig"	optage	"smuk kvinde mand;smuk sangstemme;smukke omgivelser;smuk udsigt;smuk buket;smukke blomster;smukt design;smukke mønstre;smukt farvespil;smuk og dejlig;smuk og harmonisk"	{optage_2_1}	1.a	21000124	11000087	44325
5	adj.	abstrakt	begrebslig el. tænkt, uden forbindelse med (den håndgribelige del af) virkeligheden	begrebslig	"smukt vejr;smukt dekoreret pyntet"	"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21000135	11000093	78383
6	adj.	abstrakt	som i form, farve, komposition e.l. ikke ligner (den håndgribelige del af) virkeligheden	form	"smuk tanke;smuk oplevelse;smuk gestus"	{form_2}	1.a	21000136	11000093	28579
2	sb.	accept	det at godkende el. sige ja til noget	godkende		{handling_1}	1	21000169	11000113	37908
3	sb.	accept	det at regne nogen el. noget for god(t) nok, det at affinde sig med noget (trods evt. dårlige sider)	vise			1.a	21000171	11000113	
1	sb.	accept	juridisk gyldig bekræftelse på at man antager et tilbud om levering af varer el. ydelse	bekræftelse			2	21000170	11000113	
17	vb.	acceptere	"gå ind for; gå med til; sige ja til"	gå		"{finde_3; mene_1; synes_2; tykkes_2; tænke_2}"	1	21000173	11000115	42969
10	vb.	acceptere	være tilfreds med, affinde sig med (trods evt. dårlige sider)	være		"{acceptere_1; godtage_1}"	1.a	21000175	11000115	46803
1	vb.	acceptere	sige ja til fx en invitation	sige	"socialt boligbyggeri;det sociale sikkerhedsnet;sociale tabere;sociale ydelser;socialt bedrageri;social retfærdighed;social pension;de sociale myndigheder;social tryghed;social nød;sociale problemer"	{sige_1}	1.b	21000176	11000115	29568
3	vb.	acceptere	regne nogen el. noget som god(t) nok til at være med i en bestemt gruppe el. kategori	regne	"den social rangstige;sociale spændinger;social status;sociale forskelle;social uro;den sociale arv;sociale lag klasser"		2	21000174	11000115	
4	adv.	ad	bruges ved angivelse af at man gør noget i fællesskab	angivelse	"sociale netværk;sociale relationer;socialt samvær;social adfærd;socialt samspil;det sociale liv"		1	21000198	11000141	
5	adv.	ad	i flere dele, fra hinanden i forskellige retninger	stykker	socialt engagement		2	21000199	11000141	
7	adv.	ad	bruges ved angivelse af at éns opmærksomhed er rettet mod noget, ofte på en undersøgende el. anmodende måde	undersøgende			3	21000200	11000141	
14	præp.	ad	i længderetningen af noget som man bevæger sig hen over	retning			1	21000201	11000142	
8	præp.	ad	i retning gennem en åbning el. forbi en forhindring og videre i længderetningen	længderetning	"sort farve;sort kjole;sort tøj;sort hår;sorte sko;sort kat;sort hat;skinnende sort"		1.a	21000207	11000142	
2	præp.	ad	med noget som hjælpemiddel	hjælpemiddel	"sort arbejde;sorte penge;det sorte marked;den sorte børs"		1.b	21000208	11000142	
1	præp.	ad	bruges ved angivelse af retning mht. stilling el. beliggenhed	?	"sort uheld;se sort ud;se sortest ud"		2	21000202	11000142	
11	præp.	ad	på et sted i en vis afstand fra den talende	sted	"sort røg;sorte skyer;sorte skygger;sorte øjne"		3	21000203	11000142	
17	præp.	ad	med nogen el. noget som mål for en handling, ytring el. tilkendegivelse	mål	den sorte befolkning		4	21000204	11000142	
5	præp.	ad	hen imod et omtrentligt tidspunkt	imod	"den sorte musik;sorte bydele"		5	21000205	11000142	
6	præp.	ad	bruges ved angivelse af en nærmere bestemt fordeling	fordeling	"sort nat;sort himmel;sort skikkelse"		6	21000206	11000142	
2	adj.	adelig	vedr. adelen el. dennes ejendom el. rettigheder, af adelsslægt	adel	den sorte skole	"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21000231	11000161	68233
2	adj.	adelig	person der tilhører adelen	person	"sort peber;sorte oliven"		1.a	21000232	11000161	61930
23	sb.	adgang	mulighed for el. ret til at komme et sted hen	mulighed	klædt i sort	"{stilling_1_2; tilstand_1}"	1	21000246	11000176	48230
19	sb.	adgang	mulighed for el. ret til at få fat i noget el. opnå noget	mulighed	sorte negle	{mulighed_1}	1.a	21000248	11000176	56973
1	sb.	adgang	sted hvorfra det er muligt at komme til et andet sted	sted	sort snak	{sted_1}	2	21000247	11000176	5097
2	sb.	adgangskort	trykt kort som giver adgang til et sted, arrangement, transportmiddel e.l.	kort		{kort,1_1}	1	21000255	11000182	25176
2	sb.	adgangskort	forudsætning for at kunne være med i en bestemt, større sammenhæng	forudsætning			1.a	21000256	11000182	
8	vb.	adlyde	gøre som man får besked på	gøre		"{gøre_1; handle_1}"	1	21000275	11000199	78413
3	vb.	adlyde	rette sig efter en naturlov, et princip, en påvirkning e.l.	rette	sort samvittighed	{rette,2_9: rette sig efter}	1.a	21000276	11000199	44952
18	sb.	adresse	(angivelse af) en persons el. institutions hjemsted	hjemsted	specifikke egenskaber	{angivelse_1_1}	1	21000310	11000222	37394
9	sb.	adresse	forventet el. tilsigtet modtager af kritik e.l.	modtager	specifikke bestemmelser		1.a	21000313	11000222	
2	sb.	adresse	formel, skriftlig henvendelse til en person el. institution (oftest med flere afsendere)	henvendelse	"spidst næb;spids kniv;spids næse;spidse tænder;spidse sko"		2	21000311	11000222	
0	sb.	adresse	entydig angivelse af en placering i en computers arbejdslager	angivelse		{angivelse_1_1}	3	21000312	11000222	72648
1	sb.	adskillelse	det at skille noget ad i enkelte dele	skille		{handling_1}	1	21000327	11000229	64343
4	sb.	adskillelse	det at opdele noget	opdele			1.a	21000330	11000229	
6	sb.	adskillelse	det at blive el. være adskilt fra nogen el. noget	?		{afstand_1_1}	2	21000328	11000229	72775
1	sb.	adskillelse	noget som opdeler et rum el. en bygning	opdele	"spontant indfald;spontan reaktion"		3	21000329	11000229	
5	vb.	advare	give besked om en farlig el. ubehagelig situation, give meddelelse om en forestående fare	give		{meddele_1}	1	21000345	11000241	70924
1	vb.	advare	gøre en person opmærksom på noget ubehageligt der vil ske, så vedkommende er forberedt på det	gøre	"spændende udfordring;spændende retter;spændende projekt opgave;spændende job;spændende aktiviteter;spændende muligheder;utrolig spændende;enormt spændende;fantastisk spændende;mest spændende;spændende og udfordrende;spændende og interessant;spændende at følge"	{ytre_1_1}	1.a	21000347	11000241	33212
6	vb.	advare	gøre en person opmærksom på faren ved at gøre noget bestemt, i håb om at hindre handlingen	gøre	"spændende læsning;spændende finale;spændende oplevelse;spændende historie;spændende kamp;spændende bog;spændende film;utrolig spændende;fantastisk spændende;spændende og dramatisk"	{ytre_1_1}	2	21000346	11000241	33211
15	vb.	advare	gøre en person opmærksom på en risiko el. negative sider ved noget el. nogen så vedkommende kan indrette sine handlinger derefter	gøre	"stabile priser;stabile forhold"	{ytre_1_1}	2.a	21000348	11000241	33033
2	sb.	advarsel	meddelelse om en farlig el. ubehagelig situation som bør undgås, meddelelse om en forestående fare	meddelelse		{meddelelse_1}	1	21000349	11000242	31754
9	sb.	advarsel	besked om at det kan få ubehagelige følger såfremt der handles el. ikke handles på en bestemt måde	besked		{besked_1}	1.a	21000350	11000242	37768
6	sb.	advarsel	formaning om at gentagelse af en bestemt ulovlig el. ureglementeret handling vil medføre straf	formaning			1.b	21000351	11000242	
2	sb.	advarsel	en dommers reglementerede irettesættelse af en spiller pga. en grov forseelse mod spillets regler	irettesættelse		{irettesættelse_1}	1.c	21000352	11000242	48596
10	adv.	af	bruges ved angivelse af at noget bliver adskilt fra en naturlig el. oprindelig plads	adskilt	stadigt stigende		1	21000397	11000282	
3	adv.	af	adskilt fra el. uden forbindelse med noget	adskille	"stejl skrænt;stejl skråning;stejl trappe;stejl bakke;stejle klipper"		1.a	21000403	11000282	
11	adv.	af	bruges ved angivelse af en bevægelse væk fra noget	bevægelse	stejl holdning		2	21000398	11000282	
8	adv.	af	bruges ved angivelse af at en handling bringes til ende el. udføres helt og aldeles	helt	"en stille villavej;stille periode;stille tilværelse;stille og rolig"		3	21000399	11000282	
7	adv.	af	bruges ved angivelse af en opdeling i el. en mærkning af adskilte størrelser	opdeling	"helt stille;ganske stille;tie stille"		4	21000400	11000282	
4	adv.	af	bruges ved angivelse af kopiering efter et forbillede	kopiering	"bede en stille bøn;i sit stille sind"		5	21000401	11000282	
10	adv.	af	bruges ved angivelse af at en handling el. proces bliver el. gradvis gøres svagere	svagere	"stille stund;lige så stille"		6	21000402	11000282	
10	præp.	af	med en bevægelse i retning væk fra	væk	"stille pige;stille mand;stille og rolig"		1	21000405	11000283	
2	præp.	af	med noget som mål for en sansning	mål	"ligge stille;stå stille;sidde stille"		6.a	21000421	11000283	
2	præp.	af	bruges ved angivelse af en mere el. mindre tæt samhørighed mellem to størrelser	samhørighed	"stille vejr;stille vand"		7	21000411	11000283	
16	præp.	af	bruges ved angivelse af en placering i forhold til noget andet	placering	"stille smil;stille gråd"		7.a	21000422	11000283	
6	præp.	af	lavet af, bestående af	lavet			8	21000412	11000283	
2	præp.	af	med noget som grundlag for videre forarbejdning	grundlag	"stolte forældre;den stolte far;glad og stolt"		8.a	21000423	11000283	
10	præp.	af	bruges ved angivelse af den art som (en vis mængde af) noget tilhører	art	stolte traditioner		9	21000413	11000283	
2	præp.	af	bruges ved angivelse af oprindelse el. tilhørsforhold	oprindelse			10	21000414	11000283	
5	præp.	af	bruges ved angivelse af et område som nogen el. noget stammer fra, har myndighed over e.l.	område			10.a	21000424	11000283	
2	præp.	af	bruges ved nærmere bestemmelse el. karakteristik af noget el. nogen	bestemmelse	"stor sandsynlighed;stor betydning;stor succes;store forventninger;store chancer;stor overraskelse;stor sympati;stor åbenhed;stor tilfredshed;stor uenighed;stor indflydelse;stor risiko;stort behov;i stor udstrækning"		11	21000415	11000283	
2	præp.	af	bruges for at udtrykke at nogen har en bestemt opfattelse, holdning el. tro	opfattelse	"store mængder;stort udbud;store byer;det store flertal;stor del"		11.a	21000425	11000283	
6	præp.	af	bruges ved angivelse af (fysisk el. abstrakt) adskillelse fra noget el. nogen	adskillelse	"stor udfordring;stort arbejde;stort besvær;store krav;stort problem"		1.a	21000418	11000283	
5	præp.	af	bruges ved angivelse af en sammenligning der nærmere karakteriserer noget	sammenligning	"store spørgsmål;den store kærlighed;stort og småt"		11.b	21000426	11000283	
